"topic","term","term_beta","document","doc_gamma"
1,"atmosphere",0.0239591516103692,"1",0.1725
1,"burning",0.0239591516103692,"1",0.1725
1,"emissions",0.0239591516103692,"1",0.1725
1,"fuels",0.0239591516103692,"1",0.1725
1,"media",0.0239591516103692,"1",0.1725
1,"fossil",0.0200314218381775,"1",0.1725
1,"greenhouse",0.0161036920659859,"1",0.1725
1,"nations",0.0161036920659859,"1",0.1725
1,"animals",0.0121759622937942,"1",0.1725
1,"caused",0.0121759622937942,"1",0.1725
1,"dangerous",0.0121759622937942,"1",0.1725
1,"disease",0.0121759622937942,"1",0.1725
1,"house",0.0121759622937942,"1",0.1725
1,"mold",0.0121759622937942,"1",0.1725
1,"quality",0.0121759622937942,"1",0.1725
1,"term",0.0121759622937942,"1",0.1725
1,"warming",0.0121759622937942,"1",0.1725
2,"smoke",0.0448303715670436,"1",0.166666666666667
2,"sources",0.0367528271405493,"1",0.166666666666667
2,"particles",0.0286752827140549,"1",0.166666666666667
2,"plants",0.0246365105008077,"1",0.166666666666667
2,"reduce",0.0246365105008077,"1",0.166666666666667
2,"air",0.0205977382875606,"1",0.166666666666667
2,"greenhouse",0.0205977382875606,"1",0.166666666666667
2,"emit",0.0165589660743134,"1",0.166666666666667
2,"heat",0.0165589660743134,"1",0.166666666666667
2,"trade",0.0165589660743134,"1",0.166666666666667
3,"particulate",0.0300084530853762,"1",0.1575
3,"gasses",0.025781910397295,"1",0.1575
3,"major",0.0215553677092139,"1",0.1575
3,"smog",0.0215553677092139,"1",0.1575
3,"companies",0.0173288250211327,"1",0.1575
3,"coal",0.0131022823330516,"1",0.1575
3,"countries",0.0131022823330516,"1",0.1575
3,"dioxide",0.0131022823330516,"1",0.1575
3,"geographic",0.0131022823330516,"1",0.1575
3,"industrial",0.0131022823330516,"1",0.1575
3,"nevada",0.0131022823330516,"1",0.1575
3,"systems",0.0131022823330516,"1",0.1575
4,"air",0.137569832402235,"1",0.318333333333333
4,"pollution",0.118947858472998,"1",0.318333333333333
4,"matter",0.0235102420856611,"1",0.318333333333333
4,"earth",0.0165270018621974,"1",0.318333333333333
4,"health",0.0165270018621974,"1",0.318333333333333
4,"people",0.0165270018621974,"1",0.318333333333333
4,"cap",0.0141992551210428,"1",0.318333333333333
4,"include",0.0141992551210428,"1",0.318333333333333
4,"cities",0.0118715083798883,"1",0.318333333333333
4,"damage",0.0118715083798883,"1",0.318333333333333
4,"global",0.0118715083798883,"1",0.318333333333333
4,"humans",0.0118715083798883,"1",0.318333333333333
5,"effects",0.033753709198813,"1",0.185
5,"pollutants",0.033753709198813,"1",0.185
5,"exposure",0.0263353115727003,"1",0.185
5,"buildings",0.0226261127596439,"1",0.185
5,"human",0.0226261127596439,"1",0.185
5,"people",0.0226261127596439,"1",0.185
5,"vehicles",0.0189169139465875,"1",0.185
5,"gas",0.0152077151335312,"1",0.185
5,"natural",0.0152077151335312,"1",0.185
5,"page",0.0152077151335312,"1",0.185
